"Institute","Institute_standardized"
"Portuguese Institute for Sea and Atmosphere, I. P. (IPMA, IP)","Portuguese Institute for Sea and Atmosphere (IPMA)"
"IPIMAR","Portuguese Institute of Sea and Fisheries (IPIMAR)"
"IPIMAR, INRB, IP, P-8700305 Olhao, Portugal.","Portuguese Institute of Sea and Fisheries (IPIMAR)"
"Presidency Univ","Presidency University"
"Presidency Univ, Dept Geol, 86-1 Coll St, Kolkata 700073, India","Presidency University - Department of Geology"
"Presidency Univ, Dept Life Sci, Marine Ecol Lab, 86-1 Coll St, Kolkata 700073, India;","Presidency University - Department of Life Sciences - Marine Ecology Laboratory"
"Presidency Univ, Marine Ecol Lab, Dept Life Sci, 86-1 Coll St, Kolkata 700073, India;","Presidency University - Department of Life Sciences - Marine Ecology Laboratory"
"Prince Songkla Univ, Coastal Oceanog & Climate Change Res Ctr, Hat Yai, Songkhla, Thailand.","Prince of Songkla University"
"Provincie Antwerpen","Province of Antwerp"
"provincieantwerpen","Province of Antwerp"
"Provincie Ooste-Vlaanderen","Province of East-Flanders"
"oost-vlaanderen","Province of East-Flanders"
"Provinciaal Centrum voor Milieuonderzoek (PCM)","Provinciaal Centrum voor Milieuonderzoek (PCM)"
"Paris Sci & Lettres Res Univ","PSL Research University"
"PSL Univ Paris, Natl Ctr Sci Res, CRIOBE, USR 3278 CNRS EPHE UPVD,Maison Oceans, 195 Rue St Jacques, F-75005 Paris, France.","PSL Research University"
"Puerto de Celeiro S.A.","Puerto de Celeiro S.A."
"Pukyong Natl Univ","Pukyong National University"
"Pukyong Natl Univ, Dept Marine Biol, Pusan 680737, South Korea.","Pukyong National University"
"Pukyong Natl Univ, Dept Marine Biol, Busan, South Korea.","Pukyong National University - Department of Marine Biology"
"Pukyong Natl Univ, Interdisciplinary Program Biomed Mech & Elect Eng, Busan, South Korea;","Pukyong National University - Interdisciplinary Program Biomed Mech & Elect Eng"
"Purdue Univ, Dept Biol, Ft Wayne, IN 47907 USA.","Purdue University"
"Quantitative Aquatics, Inc.","Quantitative Aquatics, Inc."
"Quantitative Aquatics, Sto. Domingo","Quantitative Aquatics, Inc."
"Queen Mary Univ London","Queen Mary University of London (QMUL)"
"Queen Mary Univ London, Sch Biol & Chem Sci, London E1 4NS, England.","Queen Mary University of London (QMUL)"
"Queen Mary University of London","Queen Mary University of London (QMUL)"
"Queen Mary Univ London, Sch Biol &amp; Chem Sci, London E1 4NS, England.","Queen Mary University of London (QMUL) - School of Biology and Chemical Science"
"Queen's University","Queen's University"
"Queen's University Marine Laboratory (QML), Belfast","Queen's University - Marine Laboratory (QML)"
"Queen's University Belfast","Queen's University of Belfast (QUB)"
"Queens Univ Belfast","Queen's University of Belfast (QUB)"
"Queens Univ Belfast, Sch Biol Sci, Belfast BT9 7BL, Antrim, North Ireland.","Queen's University of Belfast (QUB)"
"Queens Univ Belfast, Sch Biol Sci, Inst Global Food Secur, Belfast BT9 7BL, Antrim, North Ireland.","Queen's University of Belfast (QUB)"
"Queens Univ Belfast, Sch Biol Sci, Marine Lab, Portaferry BT22 1PF, North Ireland.","Queen's University of Belfast (QUB)"
"Queen's University Belfast","Queen's University of Belfast (QUB)"
"Queens Univ Belfast, Sch Biol Sci, 97 Lisburn Rd, Belfast BT9 7BL, Antrim, North Ireland;","Queen's University of Belfast (QUB) - School of Life Sciences"
"Queens Univ Belfast, Sch Biol Sci, Belfast BT9 7BL, Antrim, North Ireland;","Queen's University of Belfast (QUB) - School of Life Sciences"
"Queens Univ Belfast, Sch Life Sci, Belfast, Antrim, North Ireland;","Queen's University of Belfast (QUB) - School of Life Sciences"
"Queens Univ Belfast, Marine Lab, Portaferry BT22 1LS, North Ireland;","Queen's University of Belfast (QUB) - School of Life Sciences - Marine Lab"
"Queens Univ Belfast, Marine Lab, Univ Rd, Belfast BT7 1NN, Antrim, North Ireland;","Queen's University of Belfast (QUB) - School of Life Sciences - Marine Lab"
"Queensland Museum","Queensland Museum"
"Queensland Museum, Nat Environm Program, S Bank, Qld 4101, Australia.","Queensland Museum"
"Queensland Museum, Nat Environm Program, South Brisbane, Qld 4101, Australia.","Queensland Museum"
"Queensland Museum, POB 3300, Brisbane, Qld 4101, Australia.","Queensland Museum"
"Queensland Museum, Biodivers & Geosci Program, South Brisbane, Qld 4101, Australia;","Queensland Museum - Biodiversity & Geosciences collections"
"Queensland Museum, Biodivers & Geosci, Townsville, Qld 4810, Australia;","Queensland Museum - Biodiversity & Geosciences collections"
"Quiet-Oceans","Quiet-Oceans"
"RadboudUniv Nijmegen, Inst Water & Wetland Res, Dept Environm Sci, NL-6500 GLNijmegen, Netherlands.","Radboud University"
"Rajalakshmi Engn Coll","Rajalakshmi Engineering College"
"Rajalakshmi Engn Coll, Dept Biotechnol, Madras, Tamil Nadu, India","Rajalakshmi Engineering College - Department of Biotechnology"
"Ramboll","Ramboll"
"Rare Philippines","Rare, Philippines"
"Rare Philippines, 3rd Floor Trends Plaza,F Ramos St, Cebu 6000, Philippines;","Rare, Philippines"
"Ravenshaw Univ, Ctr Excellence Environm & Publ Hlth, Dept Zool, Environm Sci Lab, Cuttack 753003, Orissa, India.","Ravenshaw University, Cuttack"
"Ravenshaw Univ, Dept Zool, Environm Sci Lab, Cuttack 753003, Odisha, India.","Ravenshaw University, Cuttack"
"Razi Univ","Razi University"
"Razi Univ, Fac Sci, Dept Biol, Kermanshah 6714967346, Iran.","Razi University"
"Razi Univ, Dept Biol, Fac Sci, Kermanshah, Iran;","Razi University - Faculty of Science - Department of Biology"
"Inst Royal Sci Nat Belgique","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Inst Royal Sci Nat Belgique, B-1000 Brussels, Belgium;","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Inst Royal Sci Nat Belgique, Rue Vautier 29, B-1000 Brussels, Belgium;","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"KBIN","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"KBIN (BOPCO)","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Operational Directorate Taxonomy and Phylogeny, Royal Belgian Institute of Natural Sciences (RBINS)","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Rbins","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Inst Nat Sci","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Inst Nat Sci, Brussels, Belgium.","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Institute for Natural Sciences","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Institute of Natural Sciences","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Institute of Natural Sciences (RBINS)","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Institute of Natural Sciences |","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Institute of Natural Sciences, Brussels","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Institute of Natural Sciences, Operational Directorate Natural Environment, Marine Ecology and Management","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Royal Belgian Institute of Natural Sciences.","RBINS Royal Belgian Institute of Natural Sciences (RBINS)"
"Belgian Marine Data Centre (BMDC), Operational Directorate Natural Environment, Royal Belgian Institute of Natural Sciences","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Belgian Marine Data Centre (BMDC)"
"Royal Belgian Institute of Natural Sciences, Department Invertebrates","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Department of Invertabrate Biology"
"Koninklijk Belgisch Instituut voor Natuurwetenschappen (KBIN), Operationele Directie Natuurlijk Milieu (OD Natuur)","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Directorate Natural Environment (OD Nature)"
"OD Natuur","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Directorate Natural Environment (OD Nature)"
"Operational Directorate Natural Environment, Royal Belgian Institute of Natural Sciences","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Directorate Natural Environment (OD Nature)"
"RBINS - OD Nature","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Directorate Natural Environment (OD Nature)"
"Entomology Unit, Royal Belgian Institute for Natural Sciences (RBINS)","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Entomology Unit"
"JEMU, RBINS, Brussels, Belgium","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Joint Experimental Molecular Unit (JEMU)"
"MUMM","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - MUMM team (Management Unit of the Mathematical Model of the North Sea)"
"Institute Royal des Sciences Naturelles de Belgique","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Taxonomy and Phylogeny"
"Royal Belgian Inst Nat Sci Taxon & Phylogeny","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Taxonomy and Phylogeny"
"Royal Belgian Inst Nat Sci Taxon & Phylogeny, Rue Vautier 29, B-1000 Brussels, Belgium;","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Taxonomy and Phylogeny"
"Royal Belgian Institute of Natural Sciences (RBINS), OD Taxonomy and Phylogeny","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Taxonomy and Phylogeny"
"Recep Tayyip Erdogan Univ, Fac Aquat Fisheries, Rize, Turkey.","Recep Tayyip Erdoğan University"
"Recep Tayyip Erdokan Univ, Fac Fisheries, Dept Marine Biol, Rize, Turkey.","Recep Tayyip Erdoğan University"
"Red pencil","Red pencil"
"Reef Life Apps, LLC","Reef Life Apps, LLC"
"Regionaal Landschap Dijleland","Regionaal Landschap Dijleland"
"Rensselaer Polytech Inst","Rensselaer Polytechnic Institute"
"Rensselaer Polytech Inst, Dept Biol Sci, Troy, NY 12180 USA;","Rensselaer Polytechnic Institute"
"Rescue team of amphibian crossings in Auderghem","Rescue team of amphibian crossings in Auderghem"
"Ctr Invest Biodiversidade & Recursos Genet","Research Centre in Biodiversity and Genetic Resources (CIBIO)"
"Ctr Invest Biodiversidade & Recursos Genet, CIBIO, P-4485661 Vairao, Portugal;","Research Centre in Biodiversity and Genetic Resources (CIBIO)"
"Univ Porto, InBIO, Ctr Invest Biodiversidade & Recursos Genet, CIBIO, Vairao, Portugal;","Research Centre in Biodiversity and Genetic Resources (CIBIO)"
"Flanders Research Institute for Agriculture, Fisheries and Food (ILVO), Animal Sciences, Aquatic Environment and Quality","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Institute for Agricultural and Fisheries Research (ILVO), Animal Science Unit, Aquatic Environment and Quality, Bioenvironmental Research Group","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Institute for Agricultural and Fisheries Research (ILVO), Animal Science Unit, Aquatic Environment and Quality, Bio-environmental Research Group","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Institute for Agricultural and Fisheries Research, Animal Sciences Unit - Fisheries","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Institute for Agricultural and Fisheries Research, Animal Sciences Unit, Aquatic Environment and Quality","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Institute for Agricultural and Fisheries Research, Animal Sciences, Aquatic Environment and Quality, Bio-environmental Research","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Institute of Agricultural, Fisheries and Food Research (ILVO)","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Instituut voor Landbouw en Visserij Onderzoek (ILVO)","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Instituut voor Landbouw- en Visserijonderzoek (ILVO), Dier, Aquatisch Milieu en Kwaliteit, Biologisch Milieuonderzoek","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Research Institute for Agriculture, Fisheries and Food","Research Institute for Agriculture, Fisheries and Food (ILVO)"
"Inst Rech Dev, CoReUs LabEx CORAIL UR227, Noumea, New Caledonia.","Research Institute for Development (IRD)"
"Instituut voor Natuur- en Bosonderzoek","Research Institute for Nature and Forest (INBO)"
"Instituut voor Natuur- en Bosonderzoek (INBO)","Research Institute for Nature and Forest (INBO)"
"Research Institute for Nature and Forest","Research Institute for Nature and Forest (INBO)"
"Research Institute of Nature and Forest (INBO)","Research Institute for Nature and Forest (INBO)"
"Réserves Naturelles de France","Réserves Naturelles de France"
"Revive & Restore","Revive & Restore"
"Revive & Restore, 1505 Bridgeway 203, Sausalito, CA 94965 USA.","Revive & Restore"
"REVIVO Institute","REVIVO Institute"
"Univ Rey Juan Carlos, Dept Biol & Geol Fis & Quim Inorgan, C Tulipan Sn, Madrid 28933, Spain.","Rey Juan Carlos University"
"Rhodes Univ","Rhodes University"
"Rhodes Univ, Dept Ichthyol & Fisheries Sci, POB 94, ZA-6140 Grahamstown, South Africa.","Rhodes University"
"Rhodes Univ, Dept Zool & Entomol, ZA-6140 Grahamstown, Eastern Cape, South Africa.","Rhodes University"
"Rhodes Univ, Knysna Basin Project Field Lab, ZA-6140 Grahamstown, South Africa.","Rhodes University"
"Rhodes Univ, Zool & Entomol, ZA-6140 Grahamstown, South Africa.","Rhodes University"
"Rhodes Univ, Dept Biochem & Microbiol, Grahamstown, South Africa;","Rhodes University - Department of Biochemistry & Microbiology"
"Rhodes Univ, Dept Zool & Entomol, ZA-6140 Grahamstown, Eastern Cape, South Africa;","Rhodes University - Department of Zoology & Entomology"
"Rhodes Univ, Knysna Basin Project Field Lab, ZA-6140 Grahamstown, South Africa;","Rhodes University - Department of Zoology & Entomology"
"Rhodes Univ, Dept Zool &amp; Entomol, ZA-6140 Grahamstown, Eastern Cape, South Africa.","Rhodes University - Department of Zoology and Entomology"
"Rhodes Univ, Zool &amp; Entomol, ZA-6140 Grahamstown, South Africa.","Rhodes University - Department of Zoology and Entomology"
"Ricerche Economische e Sociali","Ricerche Economische e Sociali"
"Minist Infrastruct & Environm, Rijkswaterstaat, NL-8224 AD Lelystad, Netherlands;","Rijkswaterstaat (Directorate-General for Public Works and Water Management)"
"Rijkswaterstaat","Rijkswaterstaat (Directorate-General for Public Works and Water Management)"
"Rijkswaterstaat, Minist Infrastruct & Environm, Zuiderwagenpl 2, NL-8224 AD Lelystad, Netherlands;","Rijkswaterstaat (Directorate-General for Public Works and Water Management)"
"RIKZ","RIKZ (Rijksinstituut voor Kust en Zee)"
"Univ Estado Rio de Janeiro","Rio de Janeiro State University"
"Univ Estado Rio de Janeiro, Av Sao Francisco Xavier 524, BR-20550013 Rio De Janeiro, RJ, Brazil;","Rio de Janeiro State University"
"Univ Estado Rio de Janeiro, Fac Geol, Dept Estratig & Paleontol, Av Sao Francisco Xavier 524,Sala 2020A, BR-20550013 Rio De Janeiro, RJ, Brazil.","Rio de Janeiro State University"
"Univ Estado Rio de Janeiro, Inst Biol Roberto Alcantara Gomes, Dept Zool, Lab Zool Invertebrados, Sala 516,Rua Sao Francisco Xavier 524, BR-20550900 Rio De Janeiro, RJ, Brazil.","Rio de Janeiro State University"
"Univ Estado Rio de Janeiro, Inst Biol Roberto Alcantara Gomes, Programa Posgrad Ecol & Evolucao, PHLC, Rua Francisco Xavier 524,Sala 220, BR-20559900 Rio De Janeiro, RJ, Brazil;","Rio de Janeiro State University - Inst Biol Roberto Alcantara Gomes"
"Rishiri Town Museum","Rishiri Town Museum"
"Rishiri Town Museum, Rishiri Is, Hokkaido 0970311, Japan;","Rishiri Town Museum"
"RIZA-WILB","RIZA (Rijksinstituut voor de Zuivering van Afvalwater)"
"RIZZO International Inc. ","RIZZO International Inc. "
"AfricaMuseum","RMCA Royal Museum for Central Africa"
"africamuseum","RMCA Royal Museum for Central Africa"
"Royal Museum Cent Africa","RMCA Royal Museum for Central Africa"
"Royal Museum Cent Africa, BopCo & Biol Dept, Leuvensesteenweg 17, B-3080 Tervuren, Belgium.","RMCA Royal Museum for Central Africa"
"Royal Museum for Central Africa","RMCA Royal Museum for Central Africa"
"Royal Museum for Central Africa (BopCo & Biology Department)","RMCA Royal Museum for Central Africa"
"Royal Museum for Central Africa (RMCA)","RMCA Royal Museum for Central Africa"
"BopCo (AfricaMuseum)","RMCA Royal Museum for Central Africa - BopCo"
"BopCo Royal Museum for Central Africa","RMCA Royal Museum for Central Africa - BopCo"
"RMIT Univ, Sch Appl Sci, Bundoora, Vic 3083, Australia.","RMIT University"
